depth,lambda,rel_sdev,datetime,date
0,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.01,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.02,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.03,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.04,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.05,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.06,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.07,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.08,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.09,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.1,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.11,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.12,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.13,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.14,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.15,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.16,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.17,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.18,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.19,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.2,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.21,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.22,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.23,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.24,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.25,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.26,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.27,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.28,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.29,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.3,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.31,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.32,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.33,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.34,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.35,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.36,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.37,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.38,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.39,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.4,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.41,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.42,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.43,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.44,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.45,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.46,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.47,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.48,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.49,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.5,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.51,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.52,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.53,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.54,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.55,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.56,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.57,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.58,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.59,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.6,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.61,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.62,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.63,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.64,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.65,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.66,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.67,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.68,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.69,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.7,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.71,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.72,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.73,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.74,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.75,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.76,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.77,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.78,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.79,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.8,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.81,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.82,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.83,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.84,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.85,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.86,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.87,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.88,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.89,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.9,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.91,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.92,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.93,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.94,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.95,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.96,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.97,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.98,380,NA,2016-07-01T19:01:10Z,2016-07-01
0.99,380,NA,2016-07-01T19:01:10Z,2016-07-01
1,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.02,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.04,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.06,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.08,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.1,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.12,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.14,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.16,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.18,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.2,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.22,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.24,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.26,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.28,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.3,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.32,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.34,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.36,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.38,380,NA,2016-07-01T19:01:10Z,2016-07-01
1.4,380,NA,2016-07-01T19:01:10Z,2016-07-01
