depth,wavelength,luz
0,443,0.0013536424094783826
0,510,0.0013423757895356775
0,683,1.6693479440218545e-5
0.01,443,0.001351347132612807
0.01,510,0.001340894395812884
0.01,683,1.664111199262116e-5
0.02,443,0.001349059404930834
0.02,510,0.0013394165600829227
0.02,683,1.6589061600114315e-5
0.03,443,0.0013467792003612478
0.03,510,0.001337942273655165
0.03,683,1.6537326185984924e-5
0.04,443,0.001344506492934787
0.04,510,0.0013364715278621983
0.04,683,1.6485903688652046e-5
0.05,443,0.001342241256784465
0.05,510,0.0013350043140593292
0.05,683,1.6434792061542373e-5
0.06,443,0.001339983466144558
0.06,510,0.0013335406236248222
0.06,683,1.6383989272948318e-5
0.07,443,0.001337733095350039
0.07,510,0.001332080447959632
0.07,683,1.633349330590073e-5
0.08,443,0.0013354901188363472
0.08,510,0.0013306237784875075
0.08,683,1.6283302158033687e-5
0.09,443,0.0013332545111388052
0.09,510,0.0013291706066545915
0.09,683,1.6233413841449325e-5
0.1,443,0.0013310262468919983
0.1,510,0.0013277209239294326
0.1,683,1.6183826382589854e-5
0.11,443,0.0013288053008293896
0.11,510,0.0013262747218031493
0.11,683,1.613453782210938e-5
0.12,443,0.001326591647782926
0.12,510,0.0013248319917889373
0.12,683,1.608554621473631e-5
0.13,443,0.0013243852626821445
0.13,510,0.0013233927254221853
0.13,683,1.6036849629164522e-5
0.14,443,0.0013221861205543611
0.14,510,0.001321956914260523
0.14,683,1.5988446147903987e-5
0.15,443,0.0013199941965233027
0.15,510,0.0013205245498833615
0.15,683,1.594033386716949e-5
0.16,443,0.0013178094658094523
0.16,510,0.001319095623892083
0.16,683,1.5892510896751502e-5
0.17,443,0.0013156319037289442
0.17,510,0.0013176701279097793
0.17,683,1.5844975359893067e-5
0.18,443,0.0013134614856935315
0.18,510,0.0013162480535814237
0.18,683,1.579772539316525e-5
0.19,443,0.0013112981872097577
0.19,510,0.0013148293925733566
0.19,683,1.575075914634952e-5
0.2,443,0.0013091419838786882
0.2,510,0.0013134141365735235
0.2,683,1.570407478230962e-5
0.21,443,0.0013069928513952161
0.21,510,0.0013120022772913438
0.21,683,1.565767047687598e-5
0.22,443,0.0013048507655479477
0.22,510,0.0013105938064574432
0.22,683,1.5611544418725626e-5
0.23,443,0.001302715702218278
0.23,510,0.001309188715823681
0.23,683,1.556569480926579e-5
0.24,443,0.001300587637380316
0.24,510,0.0013077869971631535
0.24,683,1.5520119862513565e-5
0.25,443,0.001298466547099985
0.25,510,0.001306388642269788
0.25,683,1.547481780497924e-5
0.26,443,0.0012963524075349218
0.26,510,0.0013049936429586205
0.26,683,1.5429786875552924e-5
0.27,443,0.0012942451949339681
0.27,510,0.0013036019910654653
0.27,683,1.5385025325384943e-5
0.28,443,0.0012921448856363822
0.28,510,0.001302213678446798
0.28,683,1.5340531417782313e-5
0.29,443,0.001290051456071723
0.29,510,0.0013008286969799293
0.29,683,1.529630342807604e-5
0.3,443,0.0012879648827591695
0.3,510,0.001299447038562555
