depth,wavelength,luz
1.491339,443,0.001049442
1.491339,510,0.001131893
1.491339,683,1.025251e-5
1.490487,443,0.001038599
1.490487,510,0.00113125
1.490487,683,1.168967e-5
1.489811,443,0.001044338
1.489811,510,0.001125645
1.489811,683,1.031264e-5
1.489784,443,0.001033568
1.489784,510,0.001122072
1.489784,683,1.114848e-5
1.493571,443,0.001041995
1.493571,510,0.001127299
1.493571,683,1.327114e-5
1.500136,443,0.001034712
1.500136,510,0.001127718
1.500136,683,1.100416e-5
1.507049,443,0.001039598
1.507049,510,0.00112393
1.507049,683,1.045696e-5
1.514781,443,0.00104096
1.514781,510,0.001129464
1.514781,683,9.831587e-6
1.524895,443,0.001046881
1.524895,510,0.00112687
1.524895,683,1.076363e-5
1.535763,443,0.001042376
1.535763,510,0.001124349
1.535763,683,1.397125e-5
1.539288,443,0.001042449
1.539288,510,0.001117815
1.539288,683,1.042689e-5
1.539836,443,0.001039089
1.539836,510,0.001120112
1.539836,683,1.199033e-5
1.544704,443,0.001037091
1.544704,510,0.001126697
1.544704,683,1.25255e-5
1.551632,443,0.001025031
1.551632,510,0.001123736
1.551632,683,9.488835e-6
1.565648,443,0.001038544
1.565648,510,0.00111756
1.565648,683,1.088991e-5
1.579957,443,0.001028373
1.579957,510,0.001115937
1.579957,683,6.830999e-6
1.58139,443,0.001025885
1.58139,510,0.001115559
1.58139,683,9.789495e-6
1.583648,443,0.001029227
1.583648,510,0.001124237
1.583648,683,1.292839e-5
1.590746,443,0.001024377
1.590746,510,0.001118663
1.590746,683,1.24353e-5
1.601897,443,0.0010289
1.601897,510,0.001116866
1.601897,683,7.979521e-6
1.616329,443,0.001031769
1.616329,510,0.001109873
1.616329,683,1.050507e-5
1.629599,443,0.001014987
1.629599,510,0.001117335
1.629599,683,1.386043e-5
1.638264,443,0.001020436
1.638264,510,0.00110582
1.638264,683,9.368571e-6
1.642891,443,0.001019673
1.642891,510,0.001114051
1.642891,683,1.11124e-5
1.649011,443,0.001025158
1.649011,510,0.001111598
1.649011,683,1.264577e-5
1.661578,443,0.001026012
1.661578,510,0.001110496
1.661578,683,1.14792e-5
1.672606,443,0.001017421
1.672606,510,0.00111366
1.672606,683,1.251347e-5
1.684937,443,0.001018765
1.684937,510,0.001110189
1.684937,683,9.21824e-6
1.697491,443,0.001014606
1.697491,510,0.001109985
1.697491,683,1.013826e-5
1.707679,443,0.001020036
1.707679,510,0.00110731
1.707679,683,1.194222e-5
1.714788,443,0.001016476
1.714788,510,0.001103768
1.714788,683,1.011421e-5
1.720033,443,0.001016367
1.720033,510,0.00109849
1.720033,683,7.348134e-6
1.728117,443,0.001006523
1.728117,510,0.001103247
1.728117,683,8.863462e-6
1.739657,443,0.001015205
1.739657,510,0.001108178
1.739657,683,6.915183e-6
1.752683,443,0.001004489
1.752683,510,0.001099204
1.752683,683,1.214066e-5
1.764042,443,0.001005524
1.764042,510,0.001097673
1.764042,683,1.119057e-5
1.774975,443,0.001001638
1.774975,510,0.001095264
1.774975,683,1.054716e-5
1.78236,443,0.001003036
1.78236,510,0.001093059
1.78236,683,1.150927e-5
1.792372,443,0.001002491
1.792372,510,0.001098306
1.792372,683,1.187608e-5
1.803859,443,0.001005361
1.803859,510,0.001092671
1.803859,683,1.031264e-5
1.816852,443,9.971694e-4
